"Date","Price","Open","High","Low","Change %"
"Oct 07, 2011","2.0219","2.0019","2.0298","1.9908","0.88%"
"Oct 06, 2011","2.0043","2.0141","2.0259","1.9796","-0.59%"
"Oct 05, 2011","2.0161","2.0327","2.0416","2.0069","-0.80%"
"Oct 04, 2011","2.0324","2.0508","2.0592","2.0227","-0.96%"
"Oct 03, 2011","2.0520","2.0425","2.0550","2.0266","0.20%"
"Sep 30, 2011","2.0480","2.0269","2.0501","2.0232","0.92%"
"Sep 29, 2011","2.0294","2.0070","2.0400","1.9968","1.04%"
"Sep 28, 2011","2.0085","1.9801","2.0106","1.9764","1.30%"
"Sep 27, 2011","1.9828","1.9955","2.0017","1.9701","-0.54%"
"Sep 26, 2011","1.9935","1.9996","2.0235","1.9862","0.12%"
"Sep 23, 2011","1.9912","1.9625","2.0044","1.9522","1.34%"
"Sep 22, 2011","1.9648","1.9307","1.9805","1.9197","1.78%"
"Sep 21, 2011","1.9304","1.9109","1.9410","1.8998","0.97%"
"Sep 20, 2011","1.9119","1.9071","1.9204","1.8976","0.29%"
"Sep 19, 2011","1.9064","1.9064","1.9169","1.8921","0.13%"
"Sep 16, 2011","1.9040","1.9169","1.9250","1.8933","-0.74%"
"Sep 15, 2011","1.9181","1.9242","1.9419","1.9109","-0.28%"
"Sep 14, 2011","1.9234","1.9164","1.9337","1.9092","0.26%"
"Sep 13, 2011","1.9184","1.9214","1.9322","1.9102","-0.22%"
"Sep 12, 2011","1.9226","1.9270","1.9478","1.9175","-0.50%"
"Sep 09, 2011","1.9322","1.9193","1.9371","1.9081","0.63%"
"Sep 08, 2011","1.9201","1.9172","1.9229","1.9048","-0.01%"
"Sep 07, 2011","1.9202","1.9332","1.9372","1.9173","-0.72%"
"Sep 06, 2011","1.9342","1.9346","1.9470","1.9204","-0.12%"
"Sep 05, 2011","1.9365","1.9133","1.9391","1.9102","1.27%"
"Sep 02, 2011","1.9122","1.8981","1.9214","1.8967","0.52%"
"Sep 01, 2011","1.9024","1.9031","1.9142","1.8965","-0.02%"
"Aug 31, 2011","1.9028","1.9114","1.9183","1.8984","-0.42%"
"Aug 30, 2011","1.9108","1.9370","1.9393","1.9036","-1.48%"
"Aug 29, 2011","1.9395","1.9414","1.9487","1.9322","-0.37%"
"Aug 26, 2011","1.9467","1.9665","1.9728","1.9380","-1.07%"
"Aug 25, 2011","1.9678","1.9741","1.9817","1.9581","-0.32%"
"Aug 24, 2011","1.9741","1.9724","1.9951","1.9720","0.02%"
"Aug 23, 2011","1.9737","1.9983","2.0053","1.9700","-1.26%"
"Aug 22, 2011","1.9989","2.0145","2.0206","1.9885","-0.66%"
"Aug 19, 2011","2.0122","2.0075","2.0224","1.9948","0.09%"
"Aug 18, 2011","2.0103","1.9746","2.0131","1.9714","1.73%"
"Aug 17, 2011","1.9762","1.9686","1.9828","1.9578","0.28%"
"Aug 16, 2011","1.9707","1.9653","1.9803","1.9551","0.12%"
"Aug 15, 2011","1.9683","1.9495","1.9821","1.9375","0.62%"
"Aug 12, 2011","1.9561","1.9559","1.9815","1.9496","0.09%"
"Aug 11, 2011","1.9544","1.9890","1.9959","1.9464","-1.61%"
"Aug 10, 2011","1.9864","1.9406","2.0004","1.9303","2.09%"
